#pathway	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	P3-1	P3-2	P3-3
RIBOSYN2-PWY	12289.6916	48697.7541	33177.4354	13837.5345	14167.1761	10172.1741	16297.1907	8256.0651	18047.6719
RUMP-PWY	4122.6284	9860.6083	12059.2133	4874.7763	5086.1139	886.3437	6679.0289	3562.0081	1701.8211
SALVADEHYPOX-PWY	4757.4013	25455.7191	15470.702	5711.4312	5802.7945	4784.9106	6826.0831	6682.2182	7643.634
SER-GLYSYN-PWY	15483.983	57999.4201	41912.498	17507.3482	18531.9019	12373.5437	20477.2357	10075.8374	20356.0927
SO4ASSIM-PWY	6913.4978	31970.5186	19655.6748	6563.2055	8138.3058	5265.6411	9543.8023	4736.8076	15377.9223
SUCSYN-PWY	602.3528	5098.8696	3640.6512	2305.4106	3282.051	0.0	286.4974	988.5815	5258.8981
SULFATE-CYS-PWY	9349.1838	40615.6244	25636.4835	9569.5554	10883.1599	7704.7298	12901.7698	6157.5799	16088.4762
TCA	15054.2644	58964.9492	41301.2814	16421.095	17372.1407	13326.2161	20516.7018	8241.1199	22494.2982
TCA-GLYOX-BYPASS	8288.7343	29884.0997	19336.3071	9948.3876	9446.3114	8796.3237	11355.2785	4511.6068	10670.8253
TEICHOICACID-PWY	2840.4975	6177.4862	4299.6304	4598.6105	2955.8275	2752.7382	4014.0755	4.0171	0.0
THISYN-PWY	8490.2545	34045.9671	22670.9574	9866.834	9899.7387	4880.1263	10192.2618	6068.5655	9502.116
THREOCAT-PWY	0.0	83.6452	0.0	1809.6981	0.0	0.0	0.0	0.0	0.0
THRESYN-PWY	15674.1875	58048.0241	42111.261	18290.6226	18416.3081	11791.2023	20463.9516	10326.0925	22377.7372
TRNA-CHARGING-PWY	14277.0309	51915.5545	38583.9892	16488.5694	16135.0144	11022.8031	18573.9025	9101.7579	18286.8037
TRPSYN-PWY	14959.6375	55070.3516	39237.6355	17014.157	17046.9932	13175.6775	19888.9733	8138.9439	20007.2247
TYRFUMCAT-PWY	656.8528	4836.7427	2086.8708	1161.3887	1859.0792	1102.3798	1539.9107	638.6205	2450.2293
UBISYN-PWY	3466.5426	19704.3743	10153.6917	3702.3042	5294.7605	3995.8692	4399.9292	3222.7699	11487.7681
UDPNAGSYN-PWY	14124.677	53239.8499	39164.3603	16711.3482	16260.0553	11269.9113	18214.2552	8659.3301	18119.3805
VALDEG-PWY	0.0	0.0	0.0	32.9368	0.0	0.0	0.0	0.0	0.0
VALSYN-PWY	18116.7095	71961.9174	50197.8742	22672.6834	21176.0776	16990.44	24497.56	12391.7352	27889.307
