Feature ID	Taxon	Confidence
022e8a104e35d69ab0a51804387130ea	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Benthic Group D and DHVEG-1;D_4__archaeon enrichment culture clone AOM-Clone-F5;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9391717681731916
022f202150f1a0ef09659d2fd8e55730	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Phaeodactylibacter;D_6__uncultured Haliscomenobacter sp.;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.7054971114507278
023d4bda976a56096d517452367eb8ce	Unassigned	0.7566557248445721
023e8794a813e46ada492b668569b34d	D_0__Bacteria;D_1__Proteobacteria	0.7691084786621937
024297a242c94102a428d21827d889e2	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__uncultured;D_5__uncultured Verrucomicrobia bacterium;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9996877771952917
0242e9db67c7b7776f27ab2c1bcd1459	D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae;D_5__[Clostridium] innocuum group	0.9999958668783541
02459e77d42b38a4ed8ba7cca3b63da0	D_0__Bacteria	0.999622978437543
02478273d93eb7617dfbd6f6c469a36c	D_0__Bacteria	0.9996941130632397
02521a9f37c6122c5740765999ea726b	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Syntrophobacterales;D_4__Syntrophaceae;D_5__uncultured;D_6__uncultured Syntrophus sp.;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.8236409959776062
0253a14e3526fc69bf6027dc63b45a9e	D_0__Bacteria	0.9999227429213916
0253bd51774e1230ad7033ad6b6b1817	D_0__Bacteria;D_1__Rokubacteria;D_2__NC10;D_3__Rokubacteriales	0.9726930742391019
0259f2bd2e77240305cbffd607a39131	D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia	0.8555553093896651
025ab70524759b68a8e78706145c6a46	D_0__Bacteria	0.9999235230744025
02609517a294f8bf3ea6d2d19181ec7a	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae	0.8739325282323224
026689a42ef3f2a1c0c3bf81fd833b9c	D_0__Bacteria	0.9999729428021746
0273e9fa07b839d7c5dbdc1a7771d1a3	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Lentimicrobiaceae	0.9131413073720066
