# Constructed from biom file
#OTU ID	P1	P2	P3	M1	M2	M3
02478273d93eb7617dfbd6f6c469a36c	122.0	0.0	0.0	0.0	0.0	0.0
02521a9f37c6122c5740765999ea726b	0.0	0.0	0.0	28.0	21.0	19.0
0253a14e3526fc69bf6027dc63b45a9e	0.0	0.0	0.0	0.0	6.0	0.0
0253bd51774e1230ad7033ad6b6b1817	0.0	0.0	0.0	0.0	8.0	0.0
0259f2bd2e77240305cbffd607a39131	0.0	0.0	0.0	0.0	0.0	9.0
025ab70524759b68a8e78706145c6a46	0.0	0.0	0.0	0.0	16.0	9.0
02609517a294f8bf3ea6d2d19181ec7a	0.0	0.0	0.0	8.0	0.0	0.0
026689a42ef3f2a1c0c3bf81fd833b9c	12.0	0.0	0.0	0.0	0.0	0.0
0273e9fa07b839d7c5dbdc1a7771d1a3	0.0	0.0	0.0	0.0	11.0	0.0
027e0505cc3f893826625c84b01d50fd	0.0	0.0	0.0	7.0	0.0	10.0
02858539617287d968954de2d1b4f3e6	0.0	0.0	0.0	0.0	7.0	0.0
02913c4497258d89eebfc05cbafe19ed	0.0	0.0	0.0	0.0	0.0	44.0
0293610dd449c69f892aa099ff961aff	0.0	0.0	0.0	0.0	0.0	2.0
02a88b70661c37026ae52c27b8b0d37c	0.0	0.0	0.0	4.0	0.0	0.0
02aadba955e24054c0eb7d803b479b2d	177.0	0.0	0.0	0.0	0.0	0.0
02b71ac26b83a505b5f3d316b612498b	65.0	0.0	0.0	0.0	0.0	0.0
02b91d4b4c9464a013d05b135039ae6a	0.0	0.0	0.0	0.0	14.0	0.0
02c1d6e3d54019ce8631d9399325d45c	82.0	0.0	0.0	0.0	0.0	0.0
02cc1637b1292007f2faab3e2e9bad8a	0.0	0.0	0.0	0.0	0.0	15.0
02d72b28728dc0312dbba359c2bd722b	0.0	0.0	0.0	0.0	0.0	5.0
02e3b84dc689bf05238e820d25fe7cf8	0.0	0.0	0.0	0.0	13.0	0.0
02eba03b910830b2b6141c14da3c1b62	0.0	0.0	81.0	0.0	0.0	0.0
02f0f8430d693d0269e37da262fa91ab	0.0	0.0	0.0	0.0	0.0	12.0
030b4b75041d06e9bca9d2a088399b8e	0.0	0.0	0.0	25.0	0.0	0.0
031d572ff3f38f6f46a022e7f5118e27	0.0	161.0	0.0	0.0	0.0	0.0
031dcb6ecfa2a0e622ea4b97cd0d3bd4	0.0	0.0	0.0	11.0	0.0	0.0
03220ec7b2059cfbf15525c23f578caf	0.0	0.0	0.0	0.0	16.0	22.0
0324b398bfbcfddbbbefcff306c9daf2	0.0	0.0	0.0	11.0	12.0	0.0
034682fbe10b71330643151f8e64fff8	0.0	5.0	0.0	0.0	0.0	0.0
034c4d36c50a0d79877007d2542fb3db	0.0	0.0	0.0	64.0	74.0	60.0
035080cc8a5a8d11cfdb867fb587c5ff	0.0	0.0	0.0	94.0	61.0	212.0
0352db4538f505ba7af7efcf3fd5a9a3	16.0	0.0	0.0	0.0	0.0	0.0
035a6fdcecce92ca32313f222936d889	126.0	0.0	0.0	0.0	0.0	0.0
03645608e7e9f0de7e9b18565f192755	0.0	0.0	0.0	0.0	6.0	0.0
0374e149116d3a4551067d415e48f2da	0.0	0.0	0.0	50.0	16.0	8.0
